Job,Softskills,Hardskills,Course_Name,Course_Description,Course_Hard_Skills,Course_Soft_Skills,label
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Mathematical economics,"Topics may include: applications of optimization to choice theory, applications of the implicit function theorem to comparative statics, applications of differential and difference equations to stability of equilibria, applications of linear mathematics and fixed point theorems to Leontief and Arrow-Debreu models, and applications of optimal control theory and dynamic programming to certainty and stochastic dynamic optimization models.","understanding of optimization in choice theory, comparative statics using the implicit function theorem, stability of equilibria using differential and difference equations, Leontief and Arrow-Debreu models using linear mathematics and fixed point theorems, and certainty and stochastic dynamic optimization models using optimal control theory and dynamic programming.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Managing and mining big data,"provides a broad introduction to big data, including fundamental concepts and basic techniques for data acquisition and aggregation, state-of-the-art algorithms for data analysis, and technologies on modern computing platforms and systems for handling big data","data acquisition and aggregation, data analysis algorithms, and technologies on modern computing platforms and systems for handling big data.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",ESG in business and finance,"consider the relationship of corporates to societal objectives such as environmental protection and equitable working opportunities, which may not be within their direct operational mandates. Students will be introduced to key environmental and social challenges, such as climate change, pollution, and social inequality, and evaluate the “value” that preserving nature brings to society and to corporates.","Understanding the relationship between corporates and societal objectives, environmental protection, and equitable working opportunities, evaluating environmental and social challenges like climate change, pollution, and social inequality, and assessing the value of preserving nature to society and corporates.","Evaluation and critical thinking of corporate social responsibility towards environmental protection and equitable working opportunities, introduction to social and environmental challenges like climate change, pollution, and social inequality, and understanding the ""value"" of preserving nature brings to society and corporates.",0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Topics in macroeconomics,"provides students with an up-to-date account of the theory and practice of modern macroeconomics. The following areas that have shaped modern macroeconomic research will be covered: real business cycle theory, endogenous growth theory, and new Keynesian theories of labour markets, asset markets and sticky prices. Other selected topics on fiscal and monetary policy will also be discussed","Theory and practice of modern macroeconomics, real business cycle theory, endogenous growth theory, new Keynesian theories of labor markets, asset markets and sticky prices, fiscal and monetary policy.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Causal inference,"introduces students to fundamental ideas and important methods in causal inference. Combining statistical theory, scientific principles of research design, and hands-on experience with real data, this course will provide students with a solid basis for being good consumers and practitioners of empirical research in economics and other quantitative social sciences. The course will draw on applications from development, labor, and business economics with particular attention to policy evaluation","statistical theory, research design, data analysis, empirical research skills, policy evaluation.",being good consumers and practitioners of empirical research.,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Behavioural economics,"provides students an overview of research in behavioral economics, which incorporates insights from psychology on human behavior, with and without social interactions, into economic analysis. The topics we will cover include: decision making under uncertainty, prospect theory, reference dependence, intertemporal choice, social preferences, and bounded rationality. We will relate theories to applications including consumer choice, saving behavior, procrastination, labor supply, finance, and policy making.","Behavioral economics research, integration of insights from psychology into economic analysis, decision making under uncertainty, prospect theory, reference dependence, intertemporal choice, social preferences, bounded rationality, theories to applications including consumer choice, saving behavior, procrastination, labor supply, finance, and policy-making.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.","Regulatory, operational and valuation issues in finance institutions","e examines with students’ practical issues involving financial institutions, with a focus on banks. These include how banks shapes and, in the meantime, are bounded by regulations the regulatory environment. In turn, how the macro regulatory environment then transformed into operational practices in financial markets. The course will also go into how these issues are incorporated into models for analysis and valuation purposes","analyzing and valuating financial institutions (with a focus on banks), understanding regulations and macro regulatory environment, transforming the macro regulatory environment into operational practices in financial markets, incorporating issues into models for analysis and valuation purposes.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Marketing in China,"focus on selected topics that are of salience to managing firm marketing strategies and operations in Mainland China or Hong Kong. It may include but is not restricted to contemporary marketing issues related to branding, new product development, marketing hightechnology products and customer relationship management","knowledge of managing firm marketing strategies and operations in Mainland China or Hong Kong; understanding of contemporary marketing issues related to branding, new product development, marketing high-technology products, and customer relationship management.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Financial engineering,"Financial engineering is the process of constructing new instruments by using bonds and individual derivatives such as forwards, calls, puts, and exotic options as basic building blocks. The process involves designing, pricing and managing the instruments. In this course, we anatomize a few popular structural products. We then discuss how to price these products by studying the price of the embedded exotic options","financial engineering, constructing new instruments, bonds, derivatives (forwards, calls, puts, exotic options), designing, pricing, managing, anatomizing structural products, studying prices of embedded exotic options.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Values-driven innovation,"provides a platform for critical rethinking of the role of business in creating both business value and social values. It examines the business building blocks to explore win-win situations where economic success and societal benefits co-exist through innovative thinking and solutions, taking into account related trade-offs. Students will learn how to design businesses that can respond to increasing demands for a fairer and better society, a greener environment and greater work-life balance, whilst reducing costs, building customer loyalty, and attracting and retaining talents, thus creating long-lasting value","business strategy, cost reduction, and customer loyalty building.","critical thinking, innovative thinking, problem-solving, creativity, and designing solutions that take into account related trade-offs.",0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Managing money in asset management and private banking,"a Capstone course and students are expected to apply the core investment, valuation and portfolio theories, analytical / advisory tools and asset management knowledge, including risk management and regulatory compliance, into analyzing asset and private wealth management business cases","applying core investment, valuation, and portfolio theories, applying analytical/advisory tools and asset management knowledge, applying risk management and regulatory compliance to analyzing asset and private wealth management business cases.","ability to apply investment, valuation, portfolio theories, analytical/advisory tools, asset management knowledge, risk management, and regulatory compliance to analyzing asset and private wealth management business cases.",0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Financial markets and institutions,"designed to introduce and analyze the structure, operations and functions of the financial system. The course starts with an introduction to financial markets’ role in the economy, and the determination of interest rates and valuation of cash flows. The course then discusses various financial markets including money markets, bond markets, mortgage markets, stock markets and derivatives markets.","Understanding of the structure, operations, and functions of the financial system, knowledge of financial markets' role in the economy, determination of interest rates, and valuation of cash flows. Familiarity with various financial markets such as money markets, bond markets, mortgage markets, stock markets, and derivatives markets.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",The economic system of Hong Kong,"provides a basic understanding of the salient aspects of the Hong Kong economy. The emphasis will be on both economic analysis and institutional arrangements of the major economic sectors and related policies. Attention will be given to topics of recent public concern. The course begins with some preliminary discussion on historical development and national income accounting. It then goes on to the following topics: the monetary system and exchange rate regime, the banking sector and financial markets, the labour market, income distribution, external trade and foreign investment,economic relations with the Mainland and the region, public finance, the housing market and competition policy. These are all important aspects of the Hong Kong economy, but the extent of coverage of each will depend on the amount of time available.","basic knowledge of the Hong Kong economy, ability to understand economic analysis, knowledge of institutional arrangements of major economic sectors and related policies, expertise in historical development and national income accounting, knowledge of the monetary system, banking sector and financial markets, labor market, income distribution, external trade and foreign investment, economic relations with the Mainland and the region, public finance, housing market, and competition policy.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Big data economics,"ntroduces students to fundamental ideas, important methods and popular techniques in big data analysis and machine learning. Combining statistical theory, computational tools, and hands-on experience with real data, this course will provide students with a solid basis for handling big data in economics, finance, and management","Fundamental ideas, important methods and popular techniques in big data analysis and machine learning, Statistical theory, computational tools, hands-on experience with real data, handling big data in economics, finance, and management.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",International macroeconomics,"an introduction to an evolving and growing literature on international finance. Topics covered in the course include the international monetary system, the concept of balance of payments, theories of balance of payments, parity conditions, models of exchange rate determination, forwardlooking market instruments (forward, futures, and options markets), Eurocurrency markets, and financial crises.","understanding of the international monetary system, balance of payments, exchange rate determination, expertise in forward-looking market instruments, and understanding of the Eurocurrency markets and financial crises.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Multimedia applications development,"introduces various technologies and methods used in the design and development of multimedia applications in digital media industry. Students will learn how to develop interactive multimedia applications that use audio/video and 2D and 3D graphics. Related concepts including human-computer interaction, graphics design, and managing multimedia projects will also be covered.","design and development of multimedia applications, development of interactive multimedia applications using audio/video, 2D and 3D graphics, knowledge of human-computer interaction, and graphics design.",managing multimedia projects.,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Big data marketing,"exposes students to essential tools including data visualization, exploratory data analysis, as well as regression methods that can be used to convert raw data into marketing insights. For example, these tools will be used to investigate the impact of marketing activity on aggregate data (e.g., sales) and on individual-level choice data (e.g., brand choices)","data visualization, exploratory data analysis, regression methods, converting raw data into marketing insights, investigating the impact of marketing activity on aggregate data and individual-level choice data.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Fixed income securities,This course is designed to provide a comprehensive introduction to fixed income securities by covering the following broad topical areas: (a) the institutions and operations involved in the fixed income securities markets; (b) the valuation and hedging of fixed income securities; (c) the term structure of interest rate; (d) the use and application of interest rate derivatives in the areas of risk management and financial engineering; and (e) the interest rate models,"Understanding of the institutions and operations involved in the fixed income securities markets, the ability to value and hedge fixed income securities, knowledge of the term structure of interest rates, ability to use and apply interest rate derivatives in risk management and financial engineering, understanding of interest rate models.",,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Company law,"is designed to help students develop knowledge and understanding of the main concepts, principles, and rules of Hong Kong Company Law. Additionally, we will explore the economic and business context of Company Law and in particular, the way in which the law seeks to strike a balance between the interests of various stakeholders including companies, shareholders, creditors, and the public. The course will also explore key principles of corporate governance.","understanding the concepts, principles, and rules of Hong Kong Company Law, as well as key principles of corporate governance.",Not Specified,0.0
Mortgage Advisor,"Communication skills, active listening, problem-solving, attention to detail, time management, customer service, adaptability, emotional intelligence","Good communication and listening skills, The ability to explain complex information clearly and simply, Excellent customer service skills, Honest and trustworthy attitude, An interest in legal and financial matters, Good mathematical and computer skills.",Entrepreneurial finance,"cover basic information and knowledge about project choice and financing, idea implementation, and decision-making in start-up businesses. The majority of such information and knowledge is delivered based on the case method (with supplementary lecture notes when appropriate). It is noteworthy that we will take two roles interchangeably throughout this course: the entrepreneurs who seek funding and the venture capitalists who seek good projects","Familiarity with project choice and financing, idea implementation, and decision-making in start-up businesses, understanding of the case method as a means of delivering information, and interchangeably taking on the roles of entrepreneurs and venture capitalists in the start-up industry.",,0.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Investments and portfolio analysis,introduces students to the fundamental principles of investments and to major issues currently of concern to all investors. The concepts and skills developed from this course enable students to conduct a sophisticated assessment of current issues and debates covered by both the popular media as well as more-specialized finance journals,"Familiarity with fundamental principles of investment, ability to conduct sophisticated assessments of current issues and debates, analytical and critical thinking skills.","Sophisticated assessment of current issues and debates, critical thinking, and analytical skills.",1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Impact lab,"an opportunity to work directly for social ventures under the guidance of a faculty instructor and professional mentors. You should have opportunities to manage tasks, solve real-life problems, and gain hands-on business experience, which will strengthen your soft skills, help you implement academic business concepts in a practical way, and greatly improve your ability to compete in the job market.","ability to manage tasks and solve real-life problems, gain hands-on business experience, implementation of academic business concepts in a practical way, competitiveness in the job market.","working directly for social ventures under guidance, ability to manage tasks, problem-solving skills, hands-on business experience, improvement of soft skills.",1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Senior seminar in economics and finance,"applies core theoretical knowledge in economics and finance acquired throughout the undergraduate curriculum to research a real issue. The student may select and match core theoretical concepts with significant applications in the world, which could be of local, regional and global relevance, both contemporary and historical. The selection will include an application of these concepts to either the making of public policy or the strategic management of the firm.","research skills, theoretical knowledge in economics and finance, critical thinking, problem solving, strategic analysis.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Introduction to business analytics,"covers both technical and managerial aspects to provide a basic understanding of business analytics and show how it can be used by businesses to analyze their competitive posture more effectively, know their customers better and make better managerial and strategic decisions.","technical aspects, managerial aspects, basic understanding of business analytics, analyzing competitive posture, knowing customers, making better managerial and strategic decisions.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Selections and training,"focus on the basic concepts of selections and recruitment, training and development of different employees, and human resources utility analysis. In particular, students will be exposed to different recruiting processes and the whole spectrum of training and development techniques, and how they can add value to business success","understanding of basic concepts of selections and recruitment, knowledge of processes involved in employee training and development, expertise in human resources utility analysis.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Theory of international trade,"deals with economic issues which are related to many countries. It provides students with global perspectives on economic and business decisions. Topics include why countries trade, how they trade, who benefits and who loses from trade, and what are the best trade policies. We also discuss recent globalization issues in this class.","knowledge of economic theory and analytical skills in studying economic and business decisions, ability to analyze trade policies and understand global perspectives on economic issues.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Behavioural and sociological finance,"covers current developments in finance. Possible topics include security trading and market making, venture analysis, financial contracting, investment strategies for local markets and other current issues in finance.","Understanding current developments in finance, knowledge of security trading and market making, understanding venture analysis and financial contracting, knowledge of investment strategies for local markets, ability to analyze and discuss current issues in finance.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Valuation using financial statements,"o introduce students to the concepts of financial statement analysis, aiming to provide students the basic skills and techniques to analyze financial statements for the application of valuation. Students will learn how to evaluate accounting quality, firms’ financial performance, and how to evaluate financial statements and perform rudimentary prospective and equity analyses. Students will acquire knowledge on how to recast and adjust financial statements to estimate the intrinsic value of the firm","Basic skills and techniques to analyze financial statements, accounting quality evaluation, knowledge of financial performance evaluation, evaluation of financial statements, knowledge of how to recast and adjust financial statements to estimate the intrinsic value of the firm.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Reading course,"consists of supervised reading and written work. Candidates may specialize in one topic under the supervision of faculty members. Examples of topics are: the problem of social cost, investment in human capital, general equilibrium theory, empirical methods in international trade, international monetary relations, theories of saving and the East Asian economies, and current economic problems of Hong Kong","independent research, specialized knowledge in a particular topic, writing skills.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Field experience in China’s business environment,"Students will spend two weeks in Shanghai, attending classes and guest lectures as well as visiting representative companies in important industries and sectors there. The course will focus in the practical aspects of China business environment covering both manufacturing and servicing sectors. By going through topics/issues of recent concern, obtaining strategic insights via firm visits and attend sharing by senior management people, students are expected to acquire in-depth knowhow of learnt topics","knowledge of the practical aspects of China business environment, understanding of important industries and sectors in Shanghai, ability to analyze topics/issues of recent concern, strategic thinking via firm visits, acquisition of in-depth knowledge of learned topics.",,1.0
Bank Manager," Leadership, communication, interpersonal skills, problem-solving, decision-making, time management, adaptability, emotional intelligence","excellent verbal communication skills, business management skills, customer service skills, the ability to sell products and services, leadership skills, knowledge of economics and accounting, ambition and a desire to succeed, to be thorough and pay attention to detail.
",Enterprise resources planning systems,"e provides an overview of enterprise resource planning systems and their use in the business environment. Topics include business processes management, functions and data requirements, and systems implementation and integration","enterprise resource planning, business processes management, data requirements, systems implementation, and integration.",,0.0
