,Unnamed: 0,Course_Name,Course_Description,Course_Soft_Skills,Course_Hard_Skills
10,10,Intermediate financial accounting II,"Topics examined include debt financing, equity financing, income taxes, leases, dilutive securities and earnings per share calculations, and derivatives and hedging activities. While the primary emphasis will be on Hong Kong practice, we will also discuss the accounting principles and standards based on the Generally Accepted Accounting Principles (GAAP), International Financial Reporting Standards (IFRS) and Hong Kong Financial Reporting Standards (HKFRS). Since 1993, IFRS have been the basis for all new standards adopted in Hong Kong",,"Examining debt financing, equity financing, income taxes, leases, dilutive securities, earnings per share calculations, derivatives, and hedging activities, and discussing accounting principles and standards based on GAAP, IFRS, and HKFRS in accounting. "
11,11,Management control,"on advanced problems in managerial accounting and management information and reporting systems for planning and control of operations. Particular attention will be given to problems associated with large decentralised companies – divisional performance control, measurement and evaluation, and transfer pricing",,"managerial accounting, management information and reporting systems, planning and control of operations, divisional performance control, measurement and evaluation, transfer pricing."
12,12,Hong Kong taxation,"a fundamental understanding of the current law, principles and practices of Hong Kong taxation. The concepts introduced in the course are heavily used in practice",,"understanding of current law, principles and practices of Hong Kong taxation, application of concepts in practice."
13,13,Auditing,"Professional ethics and the social and legal responsibilities of auditors will be covered, as will basic auditing concepts and principles; evidence; evaluation of internal control; and standard procedures and methods of investigation","Professional ethics, social responsibility, legal responsibility.","Auditing concepts and principles, evidence gathering, evaluation of internal controls, standard procedures, and investigative methods."
14,14,Corporate governance and social responsibility,"In this course, students learn about the complex responsibilities facing business leaders today. They will explore the use of accounting information and internal control in ensuring efficient and effective operations, reducing the cost of capital, production and distribution, and complying with legal, regulatory and corporate oversight requirements",,"Use of accounting information, internal control to ensure efficient and effective operations, reducing cost of capital, production and distribution, complying with legal, regulatory and corporate oversight requirements."
15,15,Accounting data management and analytics,"will first be exposed to why analytics is important in accounting professions and learn about how financial and accounting data is generated and stored in modern Accounting Information Systems (AIS). Students will learn to build queries to pull data from AIS or databases, learn to perform descriptive analytics using various data visualization techniques, and identify potential problems and relevant issues. In the second part, students will learn about entry to medium level predictive accounting models and their practical applications such asperformance forecasting and credit scoring. Students will learn to use a statistical computing software (R) to perform the analysis",,"Knowledge of accounting information systems, building queries to pull data, performing descriptive analytics using data visualization techniques, identification of potential problems and relevant issues, and knowledge of predictive accounting models and their practical applications, working in statistical computing software R to perform analysis."
16,16,Accounting for business valuation and financial contracting,"provides a high-level view of what accounting is about and why and how it is important for the real economy and financial markets. Going beyond the rules and procedures that are taught in other accounting courses, this course takes the perspective of those who apply accounting information to decision-making in business organizations and financial markets (i.e., analysts and investors, lenders, the board of directors, regulators). Topics include the use of accounting information in business valuation, investment strategies, debt contracts, and executive compensation",,"Understanding the importance of accounting in the economy and financial markets, applying accounting information to decision-making, knowledge of use of accounting information in business valuation, investment strategies, debt contracts, and executive compensation."
17,17,Valuation using financial statements,"o introduce students to the concepts of financial statement analysis, aiming to provide students the basic skills and techniques to analyze financial statements for the application of valuation. Students will learn how to evaluate accounting quality, firms’ financial performance, and how to evaluate financial statements and perform rudimentary prospective and equity analyses. Students will acquire knowledge on how to recast and adjust financial statements to estimate the intrinsic value of the firm",,"Basic skills and techniques to analyze financial statements, accounting quality evaluation, knowledge of financial performance evaluation, evaluation of financial statements, knowledge of how to recast and adjust financial statements to estimate the intrinsic value of the firm."
18,18,Financial reporting and analysis of financial institutions,"focuses on (1) financial reporting and disclosure rules for financial institutions and financial instruments they hold (interest rate risk disclosures, loan loss disclosures, fair value accounting for financial instruments, securitization accounting, derivatives and hedge accounting, and market risk disclosures); and (2) the financial statement analysis of banks and bank-like financial institutions (thrifts, mortgage banks, and commercial banks)",,"Knowledge of financial reporting and disclosure rules for financial institutions and financial instruments, including interest rate risk disclosures, loan loss disclosures, fair value accounting for financial instruments, securitization accounting, derivatives, hedge accounting, and market risk disclosures. Knowledge of financial statement analysis of banks and bank-like financial institutions, including thrifts, mortgage banks, and commercial banks."
19,19,Advanced financial accounting,"looks at the application of accounting theory to the preparation of accounting standards and their implications for reporting purposes, particularly those related to the consolidation of group accounts, asset valuation and the influence on income determination. Other topics may include current cost accounting, income tax allocation, government entities and non-profit organisations",,"Application of accounting theory to the preparation of accounting standards, knowledge of accounting standards and their implications for reporting purposes, including the consolidation of group accounts, asset valuation, and influence on income determination. Knowledge of current cost accounting, income tax allocation, government entities, and non-profit organizations."
20,20,Advanced topics in auditing,"extends the first Auditing course to further examine various advanced topics including advanced auditing techniques, auditing for operations and efficiency, auditing web based information, EDP auditing, environmental auditing, forensic accounting and contemporary issues of auditing",,"Knowledge of advanced auditing techniques, auditing for operations and efficiency, auditing web-based information, electronic data processing (EDP) auditing, environmental auditing, forensic accounting and contemporary issues of auditing."
21,21,Advanced topics in taxation,"provides students with a thorough and in-depth knowledge of the current law, principles and practices of Hong Kong taxation. Students are required to apply tax principles, decided cases and legislation to compliance matters and tax planning activities in Hong Kong. The course also covers anti-avoidance provisions, cross border activities and international tax planning considerations. The concepts introduced in the course are heavily used in practice",,"knowledge of current law, principles and practices of Hong Kong taxation, ability to apply tax principles, decided cases and legislation to compliance matters and tax planning activities, understanding of anti-avoidance provisions, cross border activities and international tax planning considerations."
22,22,Accounting seminar,A course on (a) the nature of accounting theory and research and (b) topical accounting issues,,"knowledge of accounting theory and research, understanding of topical accounting issues."
23,23,Advanced business communication skills,"Special topics will be extracted from the following areas: interpersonal communication, organizational communication, intercultural communication, conflict management and negotiation, persuasion, business writing and presentation","interpersonal communication, organizational communication, intercultural communication, conflict management and negotiation, persuasion, business writing, and presentation.",
24,24,International field trip,with opportunity to gain international exposure and acquire the first-hand knowledge of international business and global management,"international exposure, knowledge of international business and global management.",
25,25,Business consulting practicum,provide an opportunity for students to gain hands-on consulting project experience while rendering valuable service to the business community,"hands-on consulting project experience, ability to render valuable service to the business community.",
26,26,Negotiation and conflict resolution,"provides a systematic introduction of concepts, theories and practices, with a focus on equipping students with toolkits of handling conflict and negotiation. The course content is composed of two intimately related parts. The beginning part introduces the nature and types of conflict, conflict escalation, and conflict resolution styles. The rest of the class sessions discuss the characteristics of interest-based negotiation and negotiation strategies. Specifically, students will learn the building blocks of negotiation, the differences between value-claiming and value-creating negotiation strategies, and related topics in trust building","ability to handle conflict and negotiation, understanding of conflict resolution styles, interest-based negotiation and negotiation strategies, trust building.","knowledge of conflict resolution styles and strategies, understanding of interest-based negotiation, ability to apply building blocks of negotiation and different negotiation strategies."
27,27,Impact lab,"an opportunity to work directly for social ventures under the guidance of a faculty instructor and professional mentors. You should have opportunities to manage tasks, solve real-life problems, and gain hands-on business experience, which will strengthen your soft skills, help you implement academic business concepts in a practical way, and greatly improve your ability to compete in the job market.","working directly for social ventures under guidance, ability to manage tasks, problem-solving skills, hands-on business experience, improvement of soft skills.","ability to manage tasks and solve real-life problems, gain hands-on business experience, implementation of academic business concepts in a practical way, competitiveness in the job market."
28,28,Field experience in China’s business environment,"Students will spend two weeks in Shanghai, attending classes and guest lectures as well as visiting representative companies in important industries and sectors there. The course will focus in the practical aspects of China business environment covering both manufacturing and servicing sectors. By going through topics/issues of recent concern, obtaining strategic insights via firm visits and attend sharing by senior management people, students are expected to acquire in-depth knowhow of learnt topics",,"knowledge of the practical aspects of China business environment, understanding of important industries and sectors in Shanghai, ability to analyze topics/issues of recent concern, strategic thinking via firm visits, acquisition of in-depth knowledge of learned topics."
29,29,Business ethics,"you should leave this course with a deep belief that you have the ability to influence those around you through your ethical leadership and decision-making. As such, this course will require you to reflect on your own aspirations as you consider the type of influence you want to have as an ethical leader","belief in ability to influence others through ethical leadership and decision-making, reflection on one's own aspirations and ethical leadership.",
30,30,Managing communication through social media,Students will learn current research and theories in the field of social media while honing their communication skills in this medium.,honing communication skills in social media.,"knowledge of current research and theories in social media, ability to communicate effectively using social media."
31,31,Transformative business immersion in developing economies,"a total immersion experience into unfamiliar geography, economy, sociality and environment. After a preparation period on campus at HKU, students will travel to a country in the developing world. Students will live with local families and work with local small and micro-enterprises. Students will work with these enterprises to improve their prospects and outcomes, focusing on basic principles in areas such as good record keeping and effective promotion",,record keeping and promotion.
32,32,Persuasion and behavioural change,"aims at providing a systematic introduction of concepts, theories and practices in persuasion, from the perspectives of social psychology and communication, with a focus on equipping students with the ability of applying persuasion knowledge in various business and interpersonal contexts. Classic theories in persuasion, attitude change, and behavior change, together with practical frameworks will be introduced before drawing connection to the business examples.",Not Specified,
33,33,New business generation – a strategic and operational approach,"is designed to equip students with a practical understanding of how to develop a new business under a startup environment or within a sizable organization in a real-world situation. The course will cover idea generation, business model formulation, strategic planning, financial modelling, resource and operational planning, pitching to external investor and/or internal management team, etc.",Not Specified,"idea generation, business model formulation, strategic planning, financial modeling, and resource and operational planning."
34,34,Business law,"e provides an introductory survey to the fundamentals and general principles of the law as it interacts with individuals, business, and other institutions in society. During the course, students will learn about different foundational areas of law that are key to being an informed business person and more broadly, a contributing member of society. The course also seeks to equip students with a deeper understanding of the processes by which laws are made, including both formal and informal, and the influence that laws have on different stakeholders in society.",Not Specified,
35,35,Company law,"is designed to help students develop knowledge and understanding of the main concepts, principles, and rules of Hong Kong Company Law. Additionally, we will explore the economic and business context of Company Law and in particular, the way in which the law seeks to strike a balance between the interests of various stakeholders including companies, shareholders, creditors, and the public. The course will also explore key principles of corporate governance.",Not Specified,"understanding the concepts, principles, and rules of Hong Kong Company Law, as well as key principles of corporate governance."
36,36,Leadership development programme,"aims at enabling students to develop themselves as leaders of organisations and to embark on paths of personal leadership development. The following concepts will be covered: motivation, lifelong leadership development, personal leadership development plan, stress and adversity management, peer mentoring, group dynamics, work and life balance as well as purpose-driven leadership.","stress and adversity management, peer mentoring, group dynamics, work and life balance, as well as purpose-driven leadership.",
37,37,Legal and ethical environment of global business,"examines how law and ethics coincide with global business transactions today. It is specifically designed for students who hope to become leaders and executives in Asia. We will discuss broad legal principles and how they affect corporate strategy and operations, analysing several crossborder business transactions and court cases.",Not Specified,"analyzing cross-border business transactions and court cases, as well as understanding how legal principles affect corporate strategy and operations."
38,38,Reading course,It consists of supervised reading and written work. Students will specialize in one discipline under supervision of a faculty member of the Faculty of Business and Economics. A written paper is required in lieu of examination.,Not Specified,
39,39,Intermediate microeconomics,"Preference, utility and consumer choices; choices under uncertainty, introduction to game theory; theory of the firm; market structures; introduction to economics of information.",Not Specified,"understanding consumer choices, game theory, the theory of the firm, market structures, and the economics of information."
40,40,Games and decisions,"The first part of the course starts with sequential games and introduces the concept of subgame perfect equilibrium for solving sequential games. Then it introduces Nash equilibria through a series of concepts: dominant strategy, successive elimination of dominated strategies, and the minimax approach for simultaneous games. It also discusses the limitations of Nash equilibria and offers rationalizability as an alternative equilibrium concept. This forms the basic theory of the course, which is used to analyze repeated games and collective-action games in the second part of the course.",Not Specified,"understanding sequential games, subgame perfect equilibrium, dominant strategy, successive elimination of dominated strategies, and the minimax approach for simultaneous games, as well as analyzing repeated games and collective-action games."
41,41,Industrial organization,"studies the pricing and output decisions of firms and the performance of the market under various market structures. Topics include theories of oligopoly; product differentiation; the effects of imperfect and asymmetric information; the examination of pricing practices such as price discrimination, tie-in selling, and resale price maintenance; collusion and anti-competitive behaviours, and public policies related to the promotion or restriction of competition.",,"knowledge of pricing and output decisions, understanding of market structures, theories of oligopoly, knowledge of product differentiation, understanding of imperfect and asymmetric information, understanding of pricing practices (price discrimination, tie-in selling, and resale price maintenance), knowledge of collusion and anti-competitive behaviours, knowledge of public policies related to competition promotion or restriction."
42,42,Economics of networks,"Graph theory can also help us understand link analysis and Web search. Building on this, game theory is used to provide an analysis of how sponsored search markets work. Other topics covered by the course include: information cascades, network effects, power laws and rich-get-richer phenomena.",,"knowledge of graph theory, understanding of link analysis and Web search, application of game theory to sponsored search markets, knowledge of information cascades, knowledge of network effects, understanding of power laws, understanding of rich-get-richer phenomena."
43,43,Intermediate macroeconomics,"Theories of income, employment, and the price level; analysis of secular growth and business fluctuations; introduction to monetary and fiscal policy.",,"knowledge of theories of income, employment, and the price level, ability to analyze secular growth and business fluctuations, understanding of monetary and fiscal policy."
44,44,Public finance,"Study of the role of government in the economy, using microeconomic theory. The course covers public expenditure analysis and methods of financing government expenditures. It explores the underlying theory of welfare economics as well as the economic effects of public policy such as public sector pricing, expenditure and tax policies.",,"knowledge of microeconomic theory, ability to analyze public expenditure and financing methods, understanding of welfare economics, ability to analyze the economic effects of public sector policies such as pricing, expenditure, and tax policies."
45,45,Economics of population changes,"Fertility and mortality rates changed drastically in many parts of the world. This course examines these demographic changes, their causes and consequences, and related policy issues. We first look at trends in world population and introduce fundamental demographic concepts of mortality, fertility, immigration and age structure. We then discuss economic consequences of demographic changes, including the demographic dividend, saving and retirement decisions, and human capital accumulation. We also examine economic causes of population changes. Finally, we examine policy issues related to demographic changes, such as retirement pension and health care reform.",,"knowledge of demographic trends and concepts, ability to analyze economic consequences of demographic changes, understanding of economic causes of population changes, ability to analyze policy issues related to demographic changes such as retirement pension and healthcare reform."
46,46,Chinese economy,"provides a general introduction of Chinese economy since 1949 with emphasis on the era of transition from a planned economy to a more market driven one. It aims to help students understand the development and transition of economy in China, the working of major market mechanism, as well as related issues that China encounters. Basic economic principles are used to explain the economic issues of modern China.","ability to understand the development and transition of economy in China, ability to grasp major market mechanisms, analytical skills to understand related issues encountered by China.","knowledge of Chinese economic history since 1949 with emphasis on transition from planned economy to market driven economy, familiarity with major market mechanisms, ability to analyze economic issues in China using basic economic principles."
47,47,Economics of human resources,"This course studies the allocation of human resources through the labour market and the utilisation of human resources inside the firm. Issues related to investment in human capital, wage determination, labour force participation, worker mobility, hiring decisions and other personnel practices are examined.",,"ability to analyze the allocation of human resources through the labour market, understanding of human resource utilization within firms, ability to analyze issues related to investment in human capital, knowledge of wage determination, understanding of labor force participation and worker mobility, ability to analyze hiring decisions and other personnel practices."
48,48,The economics of law,"Economic analysis applied to law. Topics may include: efficiency of law, rules of liability, tort rights and remedies, criminal sanction, legislative processes as resource allocating and income distributing mechanisms.",,"knowledge of economic analysis applied to law, understanding of legal efficiency, ability to analyze rules of liability, knowledge of tort rights and remedies, understanding of criminal sanctions, ability to analyze legislative processes as resource allocating and income distributing mechanisms."
49,49,Transportation economics,"Microeconomics applied to transportation. The cost-benefit approach to urban transportation includes topics such as optimal pricing and infrastructure investment, consumer's surplus and quasi-rents, peak load and cost allocation problems, economies of scale and dis-economies of scope, mode choice and value of time.",,"knowledge of microeconomics applied to transportation, ability to apply cost-benefit approach to urban transportation problems, ability to analyze optimal pricing and infrastructure investment, understanding of consumer's surplus and quasi-rents, ability to analyze peak load and cost allocation problems, knowledge of economies of scale and dis-economies of scope, ability to analyze mode choice and value of time in transportation."
50,50,Foreign trade and investment in China,"Built upon contemporary scholarly work on international economics, economics of multinational enterprises and international business, this course presents a set of tools, concepts, and perspectives to help students comprehend key issues in China's foreign trade and investment and make related business decisions.",,"knowledge of international economics, understanding of the economics of multinational enterprises, understanding of international business, ability to apply tools, concepts, and perspectives to comprehend issues related to China's foreign trade and investment and to make related business decisions."
51,51,Theory of international trade,"deals with economic issues which are related to many countries. It provides students with global perspectives on economic and business decisions. Topics include why countries trade, how they trade, who benefits and who loses from trade, and what are the best trade policies. We also discuss recent globalization issues in this class.",,"knowledge of economic theory and analytical skills in studying economic and business decisions, ability to analyze trade policies and understand global perspectives on economic issues."
52,52,International macroeconomics,"an introduction to an evolving and growing literature on international finance. Topics covered in the course include the international monetary system, the concept of balance of payments, theories of balance of payments, parity conditions, models of exchange rate determination, forwardlooking market instruments (forward, futures, and options markets), Eurocurrency markets, and financial crises.",,"understanding of the international monetary system, balance of payments, exchange rate determination, expertise in forward-looking market instruments, and understanding of the Eurocurrency markets and financial crises."
53,53,The economic system of Hong Kong,"provides a basic understanding of the salient aspects of the Hong Kong economy. The emphasis will be on both economic analysis and institutional arrangements of the major economic sectors and related policies. Attention will be given to topics of recent public concern. The course begins with some preliminary discussion on historical development and national income accounting. It then goes on to the following topics: the monetary system and exchange rate regime, the banking sector and financial markets, the labour market, income distribution, external trade and foreign investment,economic relations with the Mainland and the region, public finance, the housing market and competition policy. These are all important aspects of the Hong Kong economy, but the extent of coverage of each will depend on the amount of time available.",,"basic knowledge of the Hong Kong economy, ability to understand economic analysis, knowledge of institutional arrangements of major economic sectors and related policies, expertise in historical development and national income accounting, knowledge of the monetary system, banking sector and financial markets, labor market, income distribution, external trade and foreign investment, economic relations with the Mainland and the region, public finance, housing market, and competition policy."
54,54,"Trade, investment and development in APEC economies","students will examine various important and timely issues facing several Asia-Pacific Economic Cooperation (APEC) economies. In particular, the international trade and foreign investment relationships among APEC members will be studied. Common theories and experiences of economic development and growth as well as innovation activities will also be highlighted. Particular attention will be paid to the special role of Hong Kong, China in the economic integration of APEC",,"understanding of important issues facing APEC economies, knowledge of international trade and foreign investment relationships among APEC members, understanding of common theories and experiences of economic development and growth, knowledge of innovation activities, and understanding of Hong Kong's special role in the economic integration of APEC."
55,55,Economic development,"provides an overview of major topics in the study of economic development: the branch of economics which studies the determinants of income growth and poverty reduction. Each week, we will focus on a particular barrier to economic development and, through a combination of economic theory and empirical evidence, seek to build a better understanding of the type of policies and interventions conducive to development. The goal is not to provide an exhaustive coverage of all topics but to expose students to current issues and debates in development economics.",,"knowledge of major topics in the study of economic development, understanding of the determinants of income growth and poverty reduction, ability to focus on specific barriers to economic development and understand policies and interventions, expertise in economic theory and empirical evidence."
56,56,Political economy of development in China,"provide a solid understanding of the political forces shaping the outcomes of China’s economic development from the early twentieth century up until the present day. Topics covered include the fall of the last imperial dynasty, the communist revolution, property institutions under socialism, the political determinants of the Great Leap Famine and Cultural Revolution, and not the least the institutional foundations and outcomes of economic reforms.",,"knowledge of the history of China's political forces shaping economic development, understanding of the institutional foundations and outcomes of economic reforms, expertise in the fall of the last imperial dynasty, communist revolution, property institutions under socialism, political determinants of the Great Leap Famine and Cultural Revolution."
57,57,Urban economics,"s the study of the location choices of firms and households. It examines the question of the where of economic activity, a question largely ignored by the other branches of economics. Topics include the growth and development of cities; land use within cities; urban transportation; housing and public policy; urban problems such as pollution, poverty and crime; and market forces determining the locations of ports and other transshipment points",,"understanding of the location choices of firms and households, knowledge of the growth and development of cities, expertise in land use within cities, ability to analyze urban transportation, understanding of housing and public policy, knowledge of urban problems such as pollution, poverty, and crime, and expertise in the market forces that determine the locations of ports and other transshipment points."
58,58,Finance in history and society,"focuses on the social impact of financial market development from a historical perspective. In particular, we will examine how human societies have innovated to deal with the challenges of risk events such as natural disasters, climate shocks, epidemic viruses, and wars. Our goal is to develop a risk-mitigation perspective on the evolution of human civilizations so that we can better understand how human civilizations have evolved the way they did and that as investors and professionals",,"knowledge of financial market development and its social impact, understanding of the historical perspective of human societies, ability to analyze how societies innovate to deal with risk events such as natural disasters, climate shocks, epidemic viruses, and wars, expertise in developing a risk-mitigation perspective on the evolution of human civilizations, and ability to analyze human civilization evolution as investors and professionals."
59,59,History of economic thought,"a survey of fundamental developments in economic thought since the 18th century, with emphasis on works in English. The first part of the lectures reviews the writings of classical economists like Smith, Ricardo, and Mill, with an aside on Marx. The second part goes on to discuss the development of neoclassical theory from Jevons to Marshall and the Cambridge School, and mathematical economists like Fisher, Pareto, and Wicksell.",,"understanding and knowledge of the fundamental developments in economic thought since the 18th century, expertise in the works of classical economists like Smith, Ricardo, and Mill, knowledge of the development of neoclassical theory from Jevons to Marshall and the Cambridge School, and mathematical economists like Fisher, Pareto, and Wicksell."
60,60,Economic history of China,"e introduces the economic history of China between the 10th century and 1949. The main topics include Confucianism, imperial examination, gentry, autarky, modern transition, and long-term development. Particular attention will be paid to the possible factors underlying the Needham Puzzle—why the scientific and industrial revolution did not occur in China. To this end, the course will employ the comparative analysis between China and the West, and resort to historical data sets and statistical approach for causal inference",,"why the scientific and industrial revolution did not occur in China, expertise in comparative analysis between China and the West, and knowledge of historical datasets and statistical methods for causal inference."
61,61,The political economy of law and public policy,"provides a theoretical and empirical understanding of the political economy of law and public policy making, examines how law and regulation affects with policy outcomes, and familiarizes students with economic concepts and tools useful for analyzing policy issues. Topic covered include, public goods, externalities, monopolies, regulation, rent seeking, law and economics, law enforcement, legal systems and public bureaucracy",,"understanding of political economy of law and public policy making, knowledge of economic concepts and tools for policy analysis, familiarity with regulation, law and economics, law enforcement, legal systems, public bureaucracy, monopolies, public goods, and rent seeking."
62,62,"State, law and the economy","Economic analysis is applied to the study of the evolving relationship between the state, the law and the economy. Topics covered include: paradox of voting, collective action, voting and elections, interest groups, agenda manipulation, dictator’s dilemma, constitutional commitment, property rights and institutional change, and growth and stagnation of backward and modern economies.",,"economic analysis, studying the relationship between the state, law, and the economy, knowledge of the paradox of voting, collective action, voting and elections, interest groups, agenda manipulation, dictator’s dilemma, constitutional commitment, property rights, institutional change, growth, and stagnation of different economies."
63,63,Introductory econometrics,"Econometrics is the branch of economics that formulates statistical methodology for use in analyzing economic data. Consequently, the objective of this course is to prepare students for basic empirical work in economics. In particular, topics will include multiple regression analysis, estimation and hypothesis testing, functional form specification, time series models, and limited dependent variable models",,"knowledge of econometric methodology, statistical analysis, practical skills in multiple regression analysis, estimation and hypothesis testing, functional form specification, time series models, and limited dependent variable models for empirical work in economics."
64,64,Mathematical methods in economics,"explain the mathematical structure of some undergraduate level economic theories, in terms of the way in which each particular mathematical assumption is translated into its economic counterpart. The course covers multi-variable unconstrained maximization, constrained maximization, comparative statics, and a brief introduction to some dynamic economic models",,"understanding of the mathematical structure of economic theories, translation of mathematical assumptions to economic counterparts, knowledge of multi-variable unconstrained maximization, constrained maximization, comparative statics, and some dynamic economic models."
65,65,Mathematical economics,"Topics may include: applications of optimization to choice theory, applications of the implicit function theorem to comparative statics, applications of differential and difference equations to stability of equilibria, applications of linear mathematics and fixed point theorems to Leontief and Arrow-Debreu models, and applications of optimal control theory and dynamic programming to certainty and stochastic dynamic optimization models.",,"understanding of optimization in choice theory, comparative statics using the implicit function theorem, stability of equilibria using differential and difference equations, Leontief and Arrow-Debreu models using linear mathematics and fixed point theorems, and certainty and stochastic dynamic optimization models using optimal control theory and dynamic programming."
66,66,Current economic affairs,"train students to analyse economic problems of the day, particularly those relating to the Hong Kong economy",,"analytical skills for economic problem-solving, knowledge of the functioning of the Hong Kong economy to analyse related problems."
67,67,Uncertainty and information,"examines the effects of uncertainty and imperfect information on individual decision making and on market equilibrium. Topics may include the expected utility hypothesis, risk bearing and risk sharing, search, adverse selection, signaling, contract theory, mechanism design, information acquisition and information transmission.",,"understanding of the effects of uncertainty and imperfect information on decision making and market equilibrium, knowledge of expected utility hypothesis, risk bearing and risk sharing, search, adverse selection, signaling, contract theory, mechanism design, information acquisition, and information transmission."
68,68,Selected topics in price theory,"acts as a platform to provide an overview of topics that are conceived to be pivotal in economics. The topics are essentially micro-based, but have applications in other disciplines like macroeconomics and finance. Specific topics are picked by the instructor. Previous examples include venture capital and private equity, antitrust, competition policy, property rights, theory of the firm, incomplete contracting, financial contracting, bankruptcy, and corporate voting",,"familiarization with micro-based topics in economics, understanding their applications in other disciplines like macroeconomics and finance, knowledge of specific topics chosen by the instructor, including venture capital and private equity, antitrust, competition policy, property rights, theory of the firm, incomplete contracting, financial contracting, bankruptcy, and corporate voting."
69,69,Research on Chinese economy,"an empirical economic research course for undergraduate students. This course provides a general introduction to the basic methods and principles for undertaking economic research and evaluation on major economic issues in China. In addition to the basic methods, this course also provides ""the state of the art"" in research and analysis through reviewing major studies about the business and economy in China.",,"practical skills for empirical economic research, knowledge of basic methods and principles for economic research and evaluation on major issues in China, understanding of the state of the art in research and analysis techniques by reviewing major studies about Chinese business and economy."
70,70,Macroeconomic analysis for emerging markets economies,"Compared to industrial countries, emerging market economies have tended to be much more unstable, with more severe boom-bust cycles, episodes of high inflation, and balance of payment crises. This course applies macroeconomic models to explain the macroeconomic performance of emerging market economies and demonstrates how the aforementioned salient features of emerging market economies affect their macroeconomic performance",,"practical skills in applying macroeconomic models, understanding of economic theories and concepts, knowledge of emerging market economies, understanding of macroeconomic performance and its determinants."
71,71,Monetary economics,"discusses the role of money in the economy, including how money affects inflation, interest rates and output and employment in both the static and dynamic contexts. Related topics are theories of money demand and supply, the conduct of monetary policy, rules vs. discretion, adaptive and rational expectations, time inconsistency, origin of money, and electronic means of payments",,"knowledge and understanding of the role of money in the economy, inflation, interest rates, output, and employment, theories of money demand and supply, conduct of monetary policy, rules vs. discretion, adaptive and rational expectations, time inconsistency, origin of money, and electronic payment systems."
